tanggal,kode_kelurahan,wilayah_kota,kecamatan,kelurahan,penerima_vaksinasi,vaksin_dosis_1,vaksin_dosis_2,jumlah_vaksin
7/1/2021,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,TENAGA KESEHATAN,250,217,467
7/1/2021,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,TENAGA KESEHATAN,133,123,256
7/1/2021,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,TENAGA KESEHATAN,272,231,503
7/1/2021,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,TENAGA KESEHATAN,334,299,633
7/1/2021,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,TENAGA KESEHATAN,350,322,672
7/1/2021,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,TENAGA KESEHATAN,161,138,299
7/1/2021,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,TENAGA KESEHATAN,112,99,211
7/1/2021,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,TENAGA KESEHATAN,87,71,158
7/1/2021,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,TENAGA KESEHATAN,104,87,191
7/1/2021,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,TENAGA KESEHATAN,16,15,31
7/1/2021,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,TENAGA KESEHATAN,37,34,71
7/1/2021,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,TENAGA KESEHATAN,115,105,220
7/1/2021,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,TENAGA KESEHATAN,123,114,237
7/1/2021,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,TENAGA KESEHATAN,94,82,176
7/1/2021,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,TENAGA KESEHATAN,181,161,342
7/1/2021,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,TENAGA KESEHATAN,361,318,679
7/1/2021,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,TENAGA KESEHATAN,53,49,102
7/1/2021,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,TENAGA KESEHATAN,147,133,280
7/1/2021,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,TENAGA KESEHATAN,125,115,240
7/1/2021,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,TENAGA KESEHATAN,137,121,258
7/1/2021,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,TENAGA KESEHATAN,100,93,193
7/1/2021,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,TENAGA KESEHATAN,120,103,223
7/1/2021,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,TENAGA KESEHATAN,56,53,109
7/1/2021,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,TENAGA KESEHATAN,179,158,337
7/1/2021,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,TENAGA KESEHATAN,134,117,251
7/1/2021,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,TENAGA KESEHATAN,61,56,117
7/1/2021,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,TENAGA KESEHATAN,90,75,165
7/1/2021,3171041002,JAKARTA PUSAT,SENEN,KENARI,TENAGA KESEHATAN,153,133,286
7/1/2021,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,TENAGA KESEHATAN,197,170,367
7/1/2021,3171041005,JAKARTA PUSAT,SENEN,KWITANG,TENAGA KESEHATAN,92,80,172
7/1/2021,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,TENAGA KESEHATAN,140,128,268
7/1/2021,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,TENAGA KESEHATAN,256,230,486
7/1/2021,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,TENAGA KESEHATAN,64,57,121
7/1/2021,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,TENAGA KESEHATAN,384,342,726
7/1/2021,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,TENAGA KESEHATAN,207,187,394
7/1/2021,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,TENAGA KESEHATAN,166,140,306
7/1/2021,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,TENAGA KESEHATAN,313,282,595
7/1/2021,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,TENAGA KESEHATAN,83,76,159
7/1/2021,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,TENAGA KESEHATAN,311,274,585
7/1/2021,3171041001,JAKARTA PUSAT,SENEN,SENEN,TENAGA KESEHATAN,122,110,232
7/1/2021,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,TENAGA KESEHATAN,262,240,502
7/1/2021,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,TENAGA KESEHATAN,253,228,481
7/1/2021,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,TENAGA KESEHATAN,198,178,376
7/1/2021,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,TENAGA KESEHATAN,167,152,319
7/2/2021,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,TENAGA KESEHATAN,251,217,468
